"rep","estimate","se"
178,0.524276572058207,0.103149181228168
179,0.417504538991384,0.0743118798445341
180,0.580388266834422,0.109926677958812
181,0.909676850751015,0.157158809255766
182,0.63311097839924,0.108398765480255
183,0.685312597332357,0.166893263205051
184,0.487528533888318,0.0779046595497908
185,0.618454716009088,0.0894305212184455
186,0.632903480355969,0.116022949789027
187,0.589060702439142,0.120685061178226
188,0.485958478507534,0.0934455868348044
189,0.619628751681908,0.127012052579693
190,0.600857727035263,0.0964747774971415
191,0.787086470507486,0.157128061586727
192,0.578340660674083,0.111847607771688
193,0.556128593604335,0.0990127609287044
194,0.836501125711137,0.166701542110146
195,0.72711232686381,0.119427915212428
196,0.62263872035849,0.125189194350799
197,0.594238029981122,0.100786857032617
198,0.701846267580673,0.116491277095059
199,0.639358479294653,0.113485935105905
200,0.609156226963046,0.168756678010195
